Video_ID,Author,Published At,Comment,cleaned_comment
oYOYvoJqs4Q,@MentariTimur-v3d,2025-02-23T05:30:46Z,Mahasewa dan juga sebahagian kelompok yg msh ada sakit hati,mahasewa sebahagian kelompok msh sakit hati
oYOYvoJqs4Q,@SareahWinda,2025-02-23T05:28:56Z,Bumega  aja GK becus pnpin indonesia dulu  . Hxa  ribuuuut aja org2 ini,bumega aja gk becus pnpin indonesia hxa ribuuuut aja org2
oYOYvoJqs4Q,@jaffanheri7704,2025-02-23T05:23:57Z,mantap bung dedi s sangat lancar dn bisa menjabarkan apa yg di demo mhsswa kmrin...ada apa dgnmu bung dedi,mantap dedi s lancar dn jabar demo mhsswa kmrinada dgnmu dedi
oYOYvoJqs4Q,@dadangkusnadi2310,2025-02-23T05:21:52Z,Bukti kan truss bang Dedi Sitorus kebenaran untuk membunuh ke zoliman di negri ini.anda adalah sebagian dari pahlawan demokrasi di negeri ini.,bukti truss bang dedi sitorus benar bunuh zoliman negri inianda pahlawan demokrasi negeri
oYOYvoJqs4Q,@Sulaiman-zi6od,2025-02-23T05:17:55Z,Itu si Idrus Marham mantap koruptor,itu si idrus marham mantap koruptor
oYOYvoJqs4Q,@BastianKasenda,2025-02-23T05:16:28Z,Dedi Sitorus  manusia biadab sok pintar setiap diskusi mau nya benar sndiri inilah manusia adiknya Hasto yg pencuri  beginilah manusia brengsek  untung ngak ditempeleng oleh  Imanuel Eben heazer,dedi sitorus manusia biadab sok pintar diskusi nya sndiri manusia adik hasto curi manusia brengsek untung ngak tempeleng imanuel eben heazer
oYOYvoJqs4Q,@Sulaiman-zi6od,2025-02-23T05:16:24Z,Jangan sampai bang karni di bayar tampilkan  koruptor ya,jangan bang karni bayar tampil koruptor ya
oYOYvoJqs4Q,@wawanwirawan3383,2025-02-23T05:14:52Z,"Hadir koruptor,Marhus.",hadir koruptormarhus
oYOYvoJqs4Q,@Sulaiman-zi6od,2025-02-23T05:14:07Z,Mahasiswa  bersatu libas jokowi dan keluarga di solo terutama fufu fafa berani gak,mahasiswa satu libas jokowi keluarga solo fufu fafa berani
oYOYvoJqs4Q,@mahrujiroji1056,2025-02-23T05:06:40Z,Jokowi propokator harusnya di tangkap Dan di adili,jokowi propokator tangkap dan adil
oYOYvoJqs4Q,@SulisTyo-u6z,2025-02-23T05:02:36Z,"Ikan gabus ikan lele, nggedabrus leeeee ,ha ha ha ILC ha ha ha, ILC hua hua hua, ILC hi hi hi. Capek ketawa terus.",ikan gabus ikan lele nggedabrus leeeee ha ha ha ilc ha ha ha ilc hua hua hua ilc hi hi hi capek ketawa
oYOYvoJqs4Q,@dedemutakin5148,2025-02-23T05:02:06Z,Suka banget kalau pdip jadi oposisi jadi bener bener menyuarakan suara rakyat..,suka banget pdip oposisi bener bener suara suara rakyat
oYOYvoJqs4Q,@JohnLonga12,2025-02-23T04:57:23Z,"Dedi sitorus omong besar sja,",dedi sitorus omong sja
oYOYvoJqs4Q,@yadiriyadi5769,2025-02-23T04:54:43Z,Bang napi era pak.ndas banyak yang muncul.berani ngomong.pak ndas diduga sangat benci mahasiswa karena dulu kabur aja dulu pak ndas karena mahasiswa,bang napi era pakndas munculberani ngomongpak ndas duga benci mahasiswa kabur aja ndas mahasiswa
